UniqueCount	AmbigCount
0	0
0	0
2	0
0	0
11	0
1	0
0	0
0	0
0	0
8	0
9	0
9	0
0	0
0	0
0	0
0	0
1	0
7	0
1	0
0	0
1	0
3	0
0	0
0	0
2	0
6	0
2	0
0	0
2	0
3	0
1	0
2	0
4	0
1	0
6	0
5	0
1	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
6	0
0	0
0	0
0	0
1	0
1	0
8	0
2	0
0	0
6	0
1	0
10	0
5	0
6	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
3	0
0	0
2	0
0	0
0	0
2	0
0	0
151	0
0	0
0	0
0	0
2	0
0	0
3	0
0	0
0	0
1	0
4	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
2	0
4	0
5	0
1	0
2	0
2	0
1	0
4	0
1	0
8	0
5	0
8	0
0	0
30	0
1	0
1	0
5	0
4	0
3	0
3	0
11	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
54	0
939	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
5	0
1	0
4	0
0	0
1	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
28	0
25	0
12	0
0	0
3	0
2	0
4	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
12	1
61	0
1	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	0
27	0
6	0
1	0
2	0
4	0
18	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
2	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
88	1
20	0
1	0
0	0
0	0
0	0
1	0
0	0
7	0
0	0
0	0
1	0
0	0
5	0
11	0
10	0
1	0
1	0
13	0
92	0
43	0
5	0
6	0
5	0
11	0
0	0
1	0
3	0
1	0
10	0
14	0
0	0
0	0
0	0
1	0
2	0
21	0
13	0
0	0
0	0
6	0
2	0
10	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
3	0
5	0
3	0
8	0
12	0
13	0
7	0
2	0
21	0
18	0
29	0
18	0
3	0
11	0
0	0
0	0
1	0
0	0
33	0
3	0
1	0
5	0
4	0
7	0
3	0
0	0
0	0
0	0
1	0
2	0
377	0
8	0
13	0
17	0
3	0
0	0
0	0
13	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
