"";"user_genome";"Domain";"Phylum";"Class";"Order";"Family";"Genus";"Species"
"1";"AS_TE.27";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__Dysgonomonadaceae";"g__UBA4179";"s__UBA4179 sp002381125"
"2";"AS_TE.33";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Clostridiales";"f__Clostridiaceae";"g__UBA3947";"s__UBA3947 sp003541575"
"3";"AS_TE.55";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__Acholeplasmatales";"f__Acholeplasmataceae_A";"g__UBA5453";"s__UBA5453 sp002427375"
"4";"AS_TE.9";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__Lactobacillales";"f__Lactobacillaceae";"g__Lactobacillus_G";"s__Lactobacillus_G malefermentans"
"5";"AS_TE.44";"d__Bacteria";"p__Firmicutes";"c__Bacilli";"o__Lactobacillales";"f__Lactobacillaceae";"g__Pediococcus";"s__Pediococcus inopinatus"
"6";"AS_TE.50";"d__Bacteria";"p__Firmicutes_A";"c__Mahellia";"o__Caldicoprobacterales";"f__DTU083";"g__UBA3906";"s__UBA3906 sp002391555"
"7";"AS_TE.2";"d__Bacteria";"p__Bacteroidota";"c__Bacteroidia";"o__Bacteroidales";"f__DTU049";"g__DTU049";"s__DTU049 sp001512885"
"8";"AS_TE.61";"d__Bacteria";"p__Firmicutes_B";"c__Syntrophomonadia";"o__Thermacetogeniales";"f__Thermacetogeniaceae";"g__Syntrophaceticus";"s__Syntrophaceticus schinkii"
"9";"AS_TE.20";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Oscillospirales";"f__Ruminococcaceae";"g__";"s__"
"10";"AS_TE.21";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Oscillospirales";"f__Oscillospiraceae";"g__UBA5446";"s__"
"11";"AS_TE.38";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Christensenellales";"f__CAG-74";"g__DTU024";"s__"
"12";"AS_TE.43";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__4C28d-15";"f__DTU072";"g__";"s__"
"13";"AS_TE.45";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Saccharofermentanales";"f__DTU023";"g__";"s__"
"14";"AS_TE.4";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Saccharofermentanales";"f__DTU023";"g__UBA1046";"s__"
"15";"AS_TE.25";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Saccharofermentanales";"f__DTU023";"g__UBA5436";"s__"
"16";"AS_TE.1";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Saccharofermentanales";"f__Fastidiosipilaceae";"g__";"s__"
"17";"AS_TE.52";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Saccharofermentanales";"f__Fastidiosipilaceae";"g__";"s__"
"18";"AS_TE.70";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Acetivibrionales";"f__Acetivibrionaceae";"g__Herbivorax";"s__"
"19";"AS_TE.75";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Acetivibrionales";"f__Ruminiclostridiaceae_A";"g__DTU059";"s__"
"20";"AS_TE.41";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Peptostreptococcales";"f__Anaerovoracaceae";"g__Eubacterium_M";"s__"
"21";"AS_TE.47";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Peptostreptococcales";"f__DTU036";"g__DTU036";"s__"
"22";"AS_TE.34";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Peptostreptococcales";"f__Natronincolaceae";"g__Alkaliphilus_B";"s__"
"23";"AS_TE.63";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Peptostreptococcales";"f__Natronincolaceae";"g__Alkaliphilus_B";"s__"
"24";"AS_TE.76";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Peptostreptococcales";"f__Natronincolaceae";"g__Alkaliphilus_B";"s__"
"25";"AS_TE.31";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Helcococcaceae";"g__";"s__"
"26";"AS_TE.28";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Peptoniphilaceae";"g__Neofamilia";"s__"
"27";"AS_TE.5";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Peptoniphilaceae";"g__Neofamilia";"s__"
"28";"AS_TE.67";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Peptoniphilaceae";"g__";"s__"
"29";"AS_TE.69";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__";"g__";"s__"
"30";"AS_TE.56";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Tissierellaceae";"g__Varibaculum_A";"s__"
"31";"AS_TE.26";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Tissierellaceae";"g__Varibaculum_A";"s__"
"32";"AS_TE.49";"d__Bacteria";"p__Firmicutes_A";"c__Clostridia";"o__Tissierellales";"f__Tepidimicrobiaceae";"g__";"s__"
