Bin	Lineage	n_genomes	n_markers	n_marker_sets	0	1	2	3	4	5	Completeness	Contamination	Strain_heterogeneity
AS_TE.55	Bacteria	5449	104	58	0	87	15	2	0	0	100	2.98	0
AS_TE.47	Bacteria	5449	104	58	0	104	0	0	0	0	100	0	0
AS_TE.2	Bacteria	5449	104	58	0	104	0	0	0	0	100	0	0
AS_TE.8	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0	0
AS_TE.63	Bacteria	5449	104	58	1	101	2	0	0	0	98.28	3.45	0
AS_TE.58	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0	0
AS_TE.45	Bacteria	5449	104	58	1	102	1	0	0	0	98.28	1.72	0
AS_TE.41	Bacteria	5449	104	58	1	101	2	0	0	0	98.28	1.21	50
AS_TE.4	Bacteria	5449	104	58	1	102	1	0	0	0	98.28	1.72	0
AS_TE.34	Bacteria	5449	104	58	1	83	20	0	0	0	98.28	13.48	70
AS_TE.31	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0	0
AS_TE.25	Bacteria	5449	104	58	1	102	1	0	0	0	98.28	1.72	0
AS_TE.21	Bacteria	5449	104	58	1	103	0	0	0	0	98.28	0	0
AS_TE.66	Bacteria	5449	104	58	4	98	2	0	0	0	97.81	2.59	0
AS_TE.75	Bacteria	5449	104	58	3	99	2	0	0	0	96.55	2.59	0
AS_TE.7	Bacteria	5449	104	58	2	101	1	0	0	0	96.55	1.72	100
AS_TE.59	Bacteria	5449	104	58	2	101	1	0	0	0	96.55	1.72	100
AS_TE.26	Bacteria	5449	104	58	2	100	2	0	0	0	96.55	0.69	50
AS_TE.17	Bacteria	5449	104	58	2	91	11	0	0	0	96.55	17.24	0
AS_TE.53	Bacteria	5449	104	58	4	90	10	0	0	0	96.24	3.13	90
AS_TE.70	Bacteria	5449	104	58	3	100	1	0	0	0	94.83	1.72	0
AS_TE.14	Bacteria	5449	104	58	5	99	0	0	0	0	94.25	0	0
AS_TE.48	Bacteria	5449	104	58	10	86	8	0	0	0	94.2	5.09	12.5
AS_TE.37	Bacteria	5449	104	58	11	91	2	0	0	0	93.73	3.45	50
AS_TE.56	Bacteria	5449	104	58	4	98	2	0	0	0	93.1	2.59	0
AS_TE.30	Bacteria	5449	104	58	6	97	1	0	0	0	93.1	1.72	100
AS_TE.61	Bacteria	5449	104	58	8	96	0	0	0	0	89.66	0	0
AS_TE.19	Bacteria	5449	104	58	8	96	0	0	0	0	89.66	0	0
AS_TE.13	Bacteria	5449	104	58	7	93	4	0	0	0	89.66	5.17	50
AS_TE.72	Bacteria	5449	104	58	8	96	0	0	0	0	87.93	0	0
AS_TE.20	Bacteria	5449	104	58	28	74	2	0	0	0	86.99	3.45	50
AS_TE.15	Bacteria	5449	104	58	10	92	2	0	0	0	86.21	1.88	50
AS_TE.49	Bacteria	5449	104	58	41	10	11	37	4	1	84.8	147.41	10.9
AS_TE.38	Bacteria	5449	104	58	35	62	7	0	0	0	81.3	9.48	71.43
AS_TE.3	Bacteria	5449	104	58	12	92	0	0	0	0	81.03	0	0
AS_TE.18	Bacteria	5449	104	58	13	91	0	0	0	0	81.03	0	0
AS_TE.1	Bacteria	5449	104	58	30	71	3	0	0	0	80.61	4.31	33.33
AS_TE.44	Bacteria	5449	104	58	12	90	2	0	0	0	80.17	1.88	50
AS_TE.54	Bacteria	5449	104	58	26	66	12	0	0	0	79	15.67	8.33
AS_TE.32	Bacteria	5449	104	58	18	86	0	0	0	0	78.1	0	0
AS_TE.62	Bacteria	5449	104	58	16	88	0	0	0	0	77.59	0	0
AS_TE.68	Bacteria	5449	104	58	18	84	2	0	0	0	74.14	3.45	50
AS_TE.50	Bacteria	5449	104	58	25	79	0	0	0	0	73.2	0	0
AS_TE.12	Bacteria	5449	104	58	18	83	3	0	0	0	72.54	3.61	100
AS_TE.35	Bacteria	5449	104	58	49	53	2	0	0	0	70.97	1.72	0
AS_TE.64	Bacteria	5449	104	58	41	62	1	0	0	0	68.78	0.16	0
AS_TE.39	Bacteria	5449	104	58	55	49	0	0	0	0	63.01	0	0
AS_TE.67	Bacteria	5449	104	58	62	42	0	0	0	0	62.07	0	0
AS_TE.9	Bacteria	5449	104	58	53	51	0	0	0	0	61.96	0	0
AS_TE.23	Bacteria	5449	104	58	55	48	1	0	0	0	59.2	0.86	0
AS_TE.29	Bacteria	5449	104	58	31	73	0	0	0	0	53.45	0	0
AS_TE.33	Bacteria	5449	104	58	32	36	14	3	11	8	51.72	33.59	37.93
AS_TE.28	Bacteria	5449	104	58	72	30	2	0	0	0	49.14	3.45	0
AS_TE.16	Bacteria	5449	104	58	58	46	0	0	0	0	48.9	0	0
AS_TE.5	Bacteria	5449	104	58	60	43	1	0	0	0	43.65	0.34	100
AS_TE.65	Bacteria	5449	104	58	73	31	0	0	0	0	42.24	0	0
AS_TE.60	Bacteria	5449	104	58	73	31	0	0	0	0	41.38	0	0
AS_TE.36	Bacteria	5449	104	58	76	24	4	0	0	0	41.38	6.9	100
AS_TE.74	Bacteria	5449	104	58	66	38	0	0	0	0	37.38	0	0
AS_TE.69	Bacteria	5449	104	58	44	60	0	0	0	0	34.48	0	0
AS_TE.43	Bacteria	5449	104	58	74	29	1	0	0	0	33.7	1.72	0
AS_TE.6	Bacteria	5449	104	58	50	54	0	0	0	0	32.45	0	0
AS_TE.40	Bacteria	5449	104	58	84	20	0	0	0	0	24.92	0	0
AS_TE.11	Bacteria	5449	104	58	88	16	0	0	0	0	22.41	0	0
AS_TE.51	Bacteria	5449	104	58	91	13	0	0	0	0	18.1	0	0
AS_TE.71	Bacteria	5449	104	58	93	3	8	0	0	0	17.24	12.07	75
AS_TE.46	Bacteria	5449	104	58	91	13	0	0	0	0	17.24	0	0
AS_TE.52	Bacteria	5449	104	58	93	11	0	0	0	0	14.66	0	0
AS_TE.76	Bacteria	5449	104	58	94	10	0	0	0	0	13.79	0	0
AS_TE.27	Bacteria	5449	104	58	88	16	0	0	0	0	10.56	0	0
AS_TE.10	Bacteria	5449	104	58	103	1	0	0	0	0	1.72	0	0
AS_TE.73	Bacteria	5449	104	58	104	0	0	0	0	0	0	0	0
AS_TE.57	Bacteria	5449	104	58	104	0	0	0	0	0	0	0	0
AS_TE.22	Archaea	207	149	107	25	117	7	0	0	0	87.65	4.82	57.14
AS_TE.24	Archaea	207	149	107	75	8	12	10	22	22	45.74	122.2	2.91
AS_TE.42	Archaea	207	149	107	120	28	1	0	0	0	24.77	0.93	100

